,ADDRESS,BKCLASS,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CITY,COUNTY,CSA,CSA_FLG,CSA_NO,ESTYMD,FI_UNINUM,MAINOFF,NAME,OFFNAME,OFFNUM,RUNDATE,SERVTYPE,STALP,STCNTY,STNAME,UNINUM,ZIP,formatted_address,tract,Sub Boro Name,Tract
37680,6114 Springfield Blvd,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,58564,Bayside,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1912,456804,0,Flushing Bank,Springfield Branch,7,11/25/2022,11,NY,36081,New York,272295,11364,"6114 Springfield Blvd, Bayside, NY, 11364","('-1', '-1')",UNFOUND,-1
37691,18715 Union Turnpike,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1890,417,0,"JPMorgan Chase Bank, National Association",187-15 UNION TURNPIKE BRANCH,5314,11/25/2022,11,NY,36081,New York,273179,11366,"18715 Union Turnpike, Flushing, NY, 11366","('-1', '-1')",UNFOUND,-1
37751,5220 13th Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18221,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/01/1997,12139,0,"Webster Bank, National Association",BORO PARK BRANCH,374,11/25/2022,11,NY,36047,New York,277244,11219,"5220 13th Avenue, Brooklyn, NY, 11219","('021800', 'Brooklyn')",Borough Park,21800
37793,75-23 37th Avenue,SM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,6976,Jackson Heights,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/26/1947,4672,0,Dime Community Bank,JACKSON HEIGHTS BRANCH,57,11/25/2022,11,NY,36081,New York,280039,11372,"75-23 37th Avenue, Jackson Heights, NY, 11372","('028700', 'Queens')",Jackson Heights,28700
37972,188-10 Hillside Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18409,Hollis,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/13/2008,12315,0,"TD Bank, National Association",HOLLIS BRANCH,1265,11/25/2022,11,NY,36081,New York,493809,11423,"188-10 Hillside Avenue, Hollis, NY, 11423","('048000', 'Queens')",Jamaica,48000
37989,13641 Roosevelt Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,58564,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,02/01/2007,456804,0,Flushing Bank,ROOSEVELT AVENUE BRANCH,16,11/25/2022,11,NY,36081,New York,495135,11354,"13641 Roosevelt Avenue, Flushing, NY, 11354","('-1', '-1')",UNFOUND,-1
38021,41-02 Broadway,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,58424,Astoria,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/28/2009,451431,0,Alma Bank,BROADWAY BRANCH,3,11/25/2022,11,NY,36081,New York,500513,11103,"41-02 Broadway, Astoria, NY, 11103","('015900', 'Queens')",Astoria,15900
38063,122 Greenwich Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18409,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,11/05/2010,12315,0,"TD Bank, National Association",GREENWICH & 8TH AVENUE BRANCH,1588,11/25/2022,11,NY,36061,New York,515076,10011,"122 Greenwich Avenue, New York, NY, 10011","('007700', 'Manhattan')",Greenwich Village / Financial District,7700
38075,1290 Avenue Of The America'S,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,29950,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/15/2009,42784,0,"Santander Bank, N.A.",AVENUE OF THE AMERICA BRANCH,1124,11/25/2022,11,NY,36061,New York,518479,10019,"1290 Avenue Of The America'S, New York, NY, 10019","('010400', 'Manhattan')",Chelsea / Clinton / Midtown,10400
38151,166 Mercer Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,34069,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,07/01/2011,56206,0,"Wilmington Trust, National Association",SOHO OFFICE,32,11/25/2022,30,NY,36061,New York,533529,10012,"166 Mercer Street, New York, NY, 10012","('004900', 'Manhattan')",Greenwich Village / Financial District,4900
38155,14417 Union Turnpike,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/03/2012,417,0,"JPMorgan Chase Bank, National Association",FLUSHING UNION TURNPIKE BANKING CENTER,7653,11/25/2022,11,NY,36081,New York,534102,11367,"14417 Union Turnpike, Flushing, NY, 11367","('-1', '-1')",UNFOUND,-1
38161,301 W. 111th Street,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,58668,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/12/2012,462320,0,Spring Bank,301 W.111TH STREET,1,11/25/2022,11,NY,36061,New York,535358,10026,"301 W. 111th Street, New York, NY, 10026","('019702', 'Manhattan')",Central Harlem,19702
